id,name,resource,action,description,created_at
1,Просмотр каталога,catalog,view,Просмотр списка товаров и категорий,2025-07-22 06:51:12.527016
2,Создание товаров,catalog,create,Создание новых товаров и категорий,2025-07-22 06:51:12.544079
3,Редактирование товаров,catalog,edit,Изменение товаров и категорий,2025-07-22 06:51:12.562109
4,Удаление товаров,catalog,delete,Удаление товаров и категорий,2025-07-22 06:51:12.56964
5,Просмотр остатков,stock,view,Просмотр остатков на складе,2025-07-22 06:51:12.580355
6,Корректировка остатков,stock,edit,Изменение остатков товаров,2025-07-22 06:51:12.593934
7,Управление остатками,stock,manage,Полное управление остатками,2025-07-22 06:51:12.603338
8,Просмотр заказов,orders,view,Просмотр списка заказов,2025-07-22 06:51:12.608823
9,Создание заказов,orders,create,Создание новых заказов,2025-07-22 06:51:12.61595
10,Редактирование заказов,orders,edit,Изменение заказов,2025-07-22 06:51:12.625717
11,Удаление заказов,orders,delete,Удаление заказов,2025-07-22 06:51:12.633978
12,Просмотр производства,production,view,Просмотр производственных заданий,2025-07-22 06:51:12.639027
13,Создание заданий,production,create,Создание производственных заданий,2025-07-22 06:51:12.647551
14,Управление производством,production,manage,Полное управление производством,2025-07-22 06:51:12.65433
15,Просмотр операций резки,cutting,view,Просмотр операций резки,2025-07-22 06:51:12.660647
16,Создание операций резки,cutting,create,Создание заявок на резку,2025-07-22 06:51:12.665915
17,Выполнение операций резки,cutting,execute,Выполнение операций резки,2025-07-22 06:51:12.67045
18,Просмотр отгрузок,shipments,view,Просмотр отгрузок,2025-07-22 06:51:12.678062
19,Создание отгрузок,shipments,create,Создание отгрузок,2025-07-22 06:51:12.685134
20,Управление отгрузками,shipments,manage,Полное управление отгрузками,2025-07-22 06:51:12.692164
21,Просмотр пользователей,users,view,Просмотр списка пользователей,2025-07-22 06:51:12.698445
22,Управление пользователями,users,manage,Создание и редактирование пользователей,2025-07-22 06:51:12.709229
23,Управление разрешениями,permissions,manage,Управление системой разрешений,2025-07-22 06:51:12.713954
24,Просмотр аудита,audit,view,Просмотр истории изменений,2025-07-22 06:51:12.719154
361,Экспорт каталога,catalog,export,Экспорт товаров и остатков в Excel/CSV/PDF,2025-08-01 13:32:57.767258
362,Экспорт заказов,orders,export,Экспорт заказов в Excel/CSV/PDF,2025-08-01 13:32:57.77215
363,Экспорт производства,production,export,Экспорт производственных заданий в Excel/CSV/PDF,2025-08-01 13:32:57.776173
364,Экспорт операций резки,cutting,export,Экспорт операций резки в Excel/CSV/PDF,2025-08-01 13:32:57.780434
365,Экспорт отгрузок,shipments,export,Экспорт отгрузок в Excel/CSV/PDF,2025-08-01 13:32:57.784577
